ID,TimeSurvey,CloseFriends,MessageType,TimeSent,TimeRespond
80,"2025-12-18 21:14:55","Yes","Personalized","2025-12-18 20:34:23",40.5333333333333
81,"2025-12-18 23:08:36","Yes","Personalized","2025-12-18 20:34:30",154.1
82,"","No","Basic","2025-12-18 20:34:38",NA
83,"2025-12-22 00:57:12","Yes","Personalized","2025-12-18 20:34:45",4582.45
84,"","Yes","Basic","2025-12-18 20:34:52",NA
85,"2025-12-19 16:39:09","Yes","Personalized","2025-12-18 20:34:59",1204.16666666667
86,"2025-12-19 11:14:05","Yes","Basic","2025-12-18 20:35:07",878.966666666667
87,"","No","Basic","2025-12-18 20:35:14",NA
88,"2025-12-18 20:46:02","Yes","Basic","2025-12-18 20:35:20",10.7
89,"2025-12-18 21:34:24","No","Basic","2025-12-18 20:35:27",58.95
90,"2025-12-18 20:37:06","Yes","Personalized","2025-12-18 20:35:34",1.53333333333333
91,"2025-12-18 23:57:27","Yes","Personalized","2025-12-18 20:35:42",201.75
92,"2025-12-18 20:39:18","Yes","Basic","2025-12-18 20:35:49",3.48333333333333
93,"2025-12-18 20:37:08","No","Basic","2025-12-18 20:35:56",1.2
94,"2025-12-20 22:47:41","No","Basic","2025-12-18 20:36:04",3011.61666666667
95,"2025-12-18 21:13:00","Yes","Basic","2025-12-18 20:36:11",36.8166666666667
96,"2025-12-18 22:33:12","Yes","Basic","2025-12-18 20:36:18",116.9
97,"2025-12-18 22:19:26","Yes","Basic","2025-12-18 20:36:25",103.016666666667
98,"2025-12-18 20:41:52","Yes","Personalized","2025-12-18 20:36:32",5.33333333333333
99,"2025-12-18 23:38:45","Yes","Basic","2025-12-18 20:36:40",182.083333333333
100,"","Yes","Basic","2025-12-18 20:36:46",NA
101,"2025-12-21 19:06:38","Yes","Basic","2025-12-18 20:36:53",4229.75
102,"","No","Personalized","2025-12-18 20:37:01",NA
103,"2025-12-18 20:40:16","Yes","Basic","2025-12-18 20:37:07",3.15
104,"2025-12-18 20:42:21","Yes","Personalized","2025-12-18 20:37:15",5.1
105,"2025-12-18 22:03:53","Yes","Basic","2025-12-18 20:37:22",86.5166666666667
